,Title
0,Howard the Duck
1,Blade
2,X-Men
3,Blade II
4,Spider-Man
5,Daredevil
6,X2
7,Hulk
8,The Punisher
9,Spider-Man 2
10,Blade: Trinity
11,Elektra
12,Fantastic Four
13,X-Men: The Last Stand
14,Ghost Rider
15,Spider-Man 3
16,Fantastic Four: Rise of the Silver Surfer
17,Iron Man
18,The Incredible Hulk
19,Punisher: War Zone
20,X-Men Origins: Wolverine
21,Iron Man 2
22,Thor
23,X-Men: First Class
24,Captain America: The First Avenger
25,Ghost Rider: Spirit of Vengeance
26,The Avengers
27,The Amazing Spider-Man
28,Iron Man 3
29,The Wolverine
30,Thor: The Dark World
31,Captain America: The Winter Soldier
32,The Amazing Spider-Man 2
33,X-Men: Days of Future Past
34,Guardians of the Galaxy
35,Avengers: Age of Ultron
36,Ant-Man
37,Fantastic Four
38,Deadpool
39,Captain America: Civil War
40,X-Men: Apocalypse
41,Doctor Strange
42,Logan
43,Guardians of the Galaxy Vol. 2
44,Spider-Man: Homecoming
45,Thor: Ragnarok
46,Black Panther
47,Avengers: Infinity War
48,Deadpool 2
49,Once Upon a Deadpool
50,Ant-Man and the Wasp
51,Venom
52,Captain Marvel
53,Avengers: Endgame
54,Dark Phoenix
55,Spider-Man: Far From Home
56,The New Mutants
57,Black Widow
58,Shang-Chi and the Legend of the Ten Rings
59,Venom: Let There Be Carnage
60,Eternals
61,Spider-Man: No Way Home
62,The More Fun Stuff Version
63,Morbius
64,Doctor Strange in the Multiverse of Madness
65,Thor: Love and Thunder
66,Black Panther: Wakanda Forever
67,Ant-Man and the Wasp: Quantumania
68,Guardians of the Galaxy Vol. 3
69,Kraven the Hunter
70,The Marvels
71,Madame Web
72,Deadpool 3
73,Captain America: Brave New World
74,Venom: Let There Be Carnage
